PetClinicApplication.java: score=1.0 (ran 54 tests, 54 passing)
PetClinicRuntimeHints.java: score=1.0 (ran 54 tests, 54 passing)
CrashController.java: score=0.0 (ran 0 tests, 0 passing)
CacheConfiguration.java: score=1.0 (ran 54 tests, 54 passing)
WebConfiguration.java: score=1.0 (ran 54 tests, 54 passing)
WelcomeController.java: score=1.0 (ran 54 tests, 54 passing)
PetType.java: score=1.0 (ran 54 tests, 54 passing)
PetValidator.java: score=1.0 (ran 54 tests, 54 passing)
Owner.java: score=1.0 (ran 54 tests, 54 passing)
PetTypeFormatter.java: score=1.0 (ran 54 tests, 54 passing)
VisitController.java: score=1.0 (ran 54 tests, 54 passing)
Visit.java: score=1.0 (ran 54 tests, 54 passing)
Pet.java: score=1.0 (ran 54 tests, 54 passing)
PetTypeRepository.java: score=1.0 (ran 54 tests, 54 passing)
OwnerRepository.java: score=0.0 (ran 0 tests, 0 passing)
OwnerController.java: score=1.0 (ran 54 tests, 54 passing)
PetController.java: score=0.0 (ran 0 tests, 0 passing)
VetController.java: score=1.0 (ran 54 tests, 54 passing)
Vets.java: score=1.0 (ran 54 tests, 54 passing)
Specialty.java: score=1.0 (ran 54 tests, 54 passing)
VetRepository.java: score=1.0 (ran 54 tests, 54 passing)
Vet.java: score=1.0 (ran 54 tests, 54 passing)
package-info.java: score=1.0 (ran 54 tests, 54 passing)
BaseEntity.java: score=1.0 (ran 54 tests, 54 passing)
Person.java: score=1.0 (ran 54 tests, 54 passing)
NamedEntity.java: score=0.9444444444444444 (ran 54 tests, 51 passing)
